title,price,rating,reviews,availability,link,image_url,category
"Blossom Roll on Rollerball Perfume Oil with Natural Ingredients + Essential Oils, Infused with Real Flowers, Made in USA, 0.20 fl. oz./5.9 ml, (Jasmine, Tulips, Oibanum, Pink Pepper), Classic Honey Jasmine",$9.00,4.0 out of 5 stars,"1,887 ratings",In Stock,https://www.amazon.com/Blossom-Roll-Perfume-Scent-Jasmine/dp/B071H9QRP6/ref=sr_1_23?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-23,https://m.media-amazon.com/images/I/31RJLU22nTL._SX300_SY300_QL70_ML2_.jpg,perfume
Hommelure Feromone Solid Perfume Set Fheromotherapy Pheromone Solid Perfume Portable Balm Sets Pocket Pheromones Body Perfumes Natural Cologne 6 Pcs Unisex For Men And Women Long-Lasting Fragrance,$12.99,Previous page of related Sponsored Products,,In Stock,https://www.amazon.com/Hommelure-Fheromotherapy-Pheromone-Pheromones-Long-Lasting/dp/B0C33VBYCG/ref=sr_1_24?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-24,https://m.media-amazon.com/images/I/51h9s7ButDL._SX300_SY300_QL70_ML2_.jpg,perfume
Dove Care Between Washes Hair Perfume Hair Fragrance For Sweat and Odors Go Active Hair Product for 24 Hour Protection 1.7 oz,$15.99,4.2 out of 5 stars,173 ratings,Only 6 left in stock - order soon,https://www.amazon.com/Between-Perfume-Fragrance-Product-Protection/dp/B084DHQRM6/ref=sr_1_25?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-25,https://m.media-amazon.com/images/I/31agO1F4g8L._SX300_SY300_QL70_ML2_.jpg,perfume
"Demeter Pistachio Ice Cream  Roll On Perfume Oil Fragrance Library, 0.33 Oz, Long-Lasting",$13.90,3.9 out of 5 stars,451 ratings,Only 16 left in stock - order soon,https://www.amazon.com/Demeter-Pistachio-Perfume-Fragrance-Library/dp/B018YM63ZQ/ref=sr_1_26?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-26,https://m.media-amazon.com/images/I/21HqOXNfvML._SX300_SY300_QL70_ML2_.jpg,perfume
Pure Instinct Roll-On - The Original Pheromone Infused Essential Oil Perfume Cologne - Unisex For Men and Women - TSA Ready,$16.95,3.9 out of 5 stars,"74,217 ratings",In Stock,https://www.amazon.com/Pure-Instinct-Pheromone-Bodycare-BeautyCare/dp/B00EJDG7XI/ref=sr_1_27?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-27,https://m.media-amazon.com/images/I/31bd+EDqjVL._SY300_SX300_.jpg,perfume
Wresty 10 Pcs Blask Glass Spray Bottle 10ml Perfume Atomizer Refillable Travel Fine Mist Spray Bottle Liquid Fragrance Sample Atomizer Spray Bottles,$11.99,4.0 out of 5 stars,14 ratings,Only 10 left in stock - order soon,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mjc2ODQ0MTA4MjkyODg4OjE2ODkwNTA3MTY6c3BfYnRmOjIwMDAzODQ4NTE5MDk5ODo6MDo6&url=%2FPerfume-Atomizer-Refillable-Fragrance-Bottles%2Fdp%2FB09CL4KTVB%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Dperfume%26qid%3D1689050716%26s%3Dbeauty-intl-ship%26sr%3D1-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,https://m.media-amazon.com/images/I/513Kc5wd+pL._AC_SY300_SX300_.jpg,perfume
"Travel perfume bottle refillable-mini perfume refillable bottle-perfume travel refillable-travel perfume atomizer refillable-Suitable for travel, vacation, camping, business trip.（5ml）(PTA-black)",$10.00,4.9 out of 5 stars,38 ratings,Only 9 left in stock - order soon,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mjc2ODQ0MTA4MjkyODg4OjE2ODkwNTA3MTY6c3BfYnRmOjIwMDE2NDY1NzE1MDU5ODo6MDo6&url=%2Frefillable-mini-refillable-bottle-perfume-refillable-travel-refillable-Suitable_sspa%2Fdp%2FB0B9NB28RG%2Fref%3Dsr_1_29%3Fkeywords%3Dperfume%26qid%3D1689050716%26s%3Dbeauty-intl-ship%26sr%3D1-29-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,https://m.media-amazon.com/images/I/51GCpgLEkXL.__AC_SX300_SY300_QL70_ML2_.jpg,perfume
"2Pcs Perfume Atomizer Bottle (5ML),Mini Refillable Empty Cologne Spray Bottle With Luxury Leather Case,for Travel Out Side Work Women and Men (Black+Red)",$19.90,5.0 out of 5 stars,2 ratings,In Stock,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mjc2ODQ0MTA4MjkyODg4OjE2ODkwNTA3MTY6c3BfYnRmOjIwMDEzMjQxNDMwMzk5ODo6MDo6&url=%2FPerfume-Atomizer-Refillable-Cologne-Leather%2Fdp%2FB0BQML19Q5%2Fref%3Dsr_1_30_sspa%3Fkeywords%3Dperfume%26qid%3D1689050716%26s%3Dbeauty-intl-ship%26sr%3D1-30-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,https://m.media-amazon.com/images/I/71GYUp9g09L.__AC_SX300_SY300_QL70_ML2_.jpg,perfume
Kewjug Refillable Mini Perfume Atomizer Bottle，Portable Separate Bottles，Travel and Outings Spray Boxes Dispensers 5ml/0.2oz (Black),$3.99,3.9 out of 5 stars,269 ratings,In Stock,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mjc2ODQ0MTA4MjkyODg4OjE2ODkwNTA3MTY6c3BfYnRmOjIwMDEzNTY3MDU1NzA5ODo6MDo6&url=%2FKewjug-Refillable-Bottle%25EF%25BC%258CPortable-Bottles%25EF%25BC%258CTravel-Dispensers%2Fdp%2FB0BWQN1RJF%2Fref%3Dsr_1_31_sspa%3Fkeywords%3Dperfume%26qid%3D1689050716%26s%3Dbeauty-intl-ship%26sr%3D1-31-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,https://m.media-amazon.com/images/I/511Afo3cjVL.__AC_SX300_SY300_QL70_ML2_.jpg,perfume
RawChemistry Bliss Pheromone Perfume for Women - Attraction for Men 1oz.,$29.90,3.7 out of 5 stars,372 ratings,In Stock,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mjc2ODQ0MTA4MjkyODg4OjE2ODkwNTA3MTY6c3BfYnRmOjIwMDA5NzEzNDU5NDY5ODo6MDo6&url=%2FRawChemistry-Bliss-Pheromone-Perfume-Women%2Fdp%2FB0B98QZNZV%2Fref%3Dsr_1_32_sspa%3Fkeywords%3Dperfume%26qid%3D1689050716%26s%3Dbeauty-intl-ship%26sr%3D1-32-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,https://m.media-amazon.com/images/I/316JpFEPaCL._SY300_SX300_QL70_ML2_.jpg,perfume
Beetoo 12ML 6 Colors Portable Mini Travel Perfume Bottle Atomizer Refillable Empty Spray Bottle for Women & Men Spray Scent Aftershave,$13.88,4.2 out of 5 stars,62 ratings,Only 11 left in stock - order soon,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mjc2ODQ0MTA4MjkyODg4OjE2ODkwNTA3MTY6c3BfYnRmOjIwMDA0MjU1MzA1MTg5ODo6MDo6&url=%2FBeeToo-Portable-Atomizer-Refillable-Aftershave%2Fdp%2FB0822WRY6B%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dperfume%26qid%3D1689050716%26s%3Dbeauty-intl-ship%26sr%3D1-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,https://m.media-amazon.com/images/I/61QqS4WjqwL.__AC_SX300_SY300_QL70_ML2_.jpg,perfume
